LEMMA, FREQUENCY, RANGE, UDP
הוא, 23446109, 43455, 0.9480170255915042
ל, 5638813, 43448, 0.9420130372643667
ה, 9850733, 43458, 0.929266134661147
ב, 4812778, 43450, 0.9292364864789281
את, 6846782, 43426, 0.9285176069174289
לא, 5272808, 43433, 0.9145688112131216
ש, 3880654, 43439, 0.9088900047303463
של, 3892328, 43445, 0.9067041511201389
על, 1766990, 43430, 0.9042865019832009
זה, 5118759, 43441, 0.9015544612816044
מה, 2362419, 43403, 0.8922532708182579
היה, 2579370, 43420, 0.8909904417204713
מ, 1061614, 43411, 0.88900672760779
כול, 1325676, 43414, 0.8860074112131449
ו, 1906717, 43429, 0.8852706380348441
יש, 1069358, 43376, 0.8770543442171884
עם, 839575, 43331, 0.8668140051895192
אם, 861163, 43321, 0.8654587702150129
ידע, 1202416, 43323, 0.8586088803742931
אבל, 921757, 42963, 0.8519038846130076
אמר, 799835, 43196, 0.8515460134208453
רק, 580549, 43306, 0.8490225759002181
עשה, 957476, 43311, 0.8460669027641473
רצה, 905161, 43202, 0.8453711530871517
יותר, 519740, 43206, 0.8426501511461861
דבר, 549346, 43192, 0.8389916740842122
אז, 785143, 43202, 0.8317146818133982
חשב, 585499, 43062, 0.8311268353322435
ראה, 464852, 43120, 0.8276119303133131
אין, 376940, 42895, 0.8264713920405512
איך, 367902, 42714, 0.8252849429901923
זמן, 397979, 43034, 0.8227270095370316
אחד, 447348, 43074, 0.8218430306303226
שם, 511696, 43109, 0.8200130589994714
משהו, 424351, 42768, 0.8199292074719209
צריך, 678461, 43101, 0.8173698432035429
כך, 538120, 43151, 0.817293896388624
כמה, 327641, 42552, 0.8144761932302511
אל, 548185, 43249, 0.8123221548952667
עכשיו, 464746, 42758, 0.8106640851854294
טוב, 947724, 43291, 0.8084645435724982
יכול, 490428, 43141, 0.8064150536835354
בא, 419823, 43050, 0.8047477721008908
כמו, 388089, 42849, 0.8041853147025249
גם, 321102, 42702, 0.8041830812885888
כן, 1207533, 43226, 0.8041799654230262
למה, 433036, 42608, 0.8024645920670651
מן, 260131, 42071, 0.80221384969919
נכון, 394738, 42700, 0.8014874792904632
מי, 373446, 42688, 0.8007373599813871
אחר, 255588, 41924, 0.7996141927734344
נראה, 310681, 42564, 0.7980211954070152
כ, 270578, 42075, 0.7975860019513064
פעם, 286598, 42191, 0.7952189434137065
איש, 562845, 42958, 0.7942488823605546
או, 412974, 42796, 0.7936468503374203
הגיע, 267993, 41984, 0.791768039476287
עד, 218184, 41190, 0.7917160839073898
עצמו, 205086, 41000, 0.7894097507718038
דיבר, 289788, 41648, 0.7883758931999164
הרבה, 214954, 41188, 0.7877135037513165
לפני, 225776, 41249, 0.7876190346775811
כבר, 250376, 41870, 0.7861533935879315
אולי, 316008, 42239, 0.7851973471872901
דרך, 277379, 41924, 0.7851063904438749
קרה, 298579, 42161, 0.7839807768535207
עדיין, 208160, 40811, 0.7825677023294968
עוד, 260354, 42041, 0.782461191312035
ניסה, 201709, 40669, 0.7812562648331688
הבין, 178461, 40099, 0.7787652199040754
אף, 224000, 40829, 0.7783418455112182
עבר, 181166, 40252, 0.7771570268839243
מישהו, 238416, 40919, 0.7759852575633128
אפילו, 139866, 38453, 0.7743368394415071
כאן, 623430, 41759, 0.7739847609912638
שמע, 171278, 39499, 0.772953152626896
נתן, 172041, 39452, 0.772604755682636
כש, 158697, 38893, 0.7723833042726347
שוב, 157377, 39393, 0.7718752651047299
בדיוק, 154089, 38931, 0.7716276663855711
כדי, 306213, 41152, 0.770282592043259
אחת, 154130, 39146, 0.7695547607230302
מקום, 198165, 40314, 0.7680001789230777
חזר, 202999, 40579, 0.7671689493296213
יצא, 162483, 39369, 0.766231651775358
התחיל, 99971, 35015, 0.7652934349176803
בטוח, 141725, 38426, 0.765223647162116
במקום, 55050, 27901, 0.7643551071644706
יום, 266260, 41382, 0.7642633606613978
הספיק, 75388, 31940, 0.764149835626775
שב, 95518, 34110, 0.7641391655827925
באמת, 279723, 41591, 0.7624500121440642
אחרי, 138136, 37831, 0.7622924022444642
וה, 54161, 26863, 0.7622073427780777
שני, 168829, 39248, 0.762146187601928
חיים, 256770, 41514, 0.7618890654783477
תמיד, 138710, 37943, 0.7616653193582906
לקח, 109842, 35652, 0.7609634126087095
קשה, 100832, 34923, 0.7608985491551321
הכיל, 183652, 34316, 0.7606625397457291
לפחות, 46736, 25727, 0.7606528159744843
כמעט, 54522, 27109, 0.7599555507835318
קודם, 71584, 31900, 0.7598150176879501
רגע, 220597, 40784, 0.7597664595282851
המשיך, 74650, 30977, 0.7595020775107555
חייב, 271131, 40994, 0.7593203248667084
הביא, 117845, 36660, 0.7590572559633229
לשם, 43631, 24044, 0.7586111453330702
קיווה, 65759, 29695, 0.7585663791048742
מדי, 117371, 34092, 0.7581777014808021
אחרון, 115785, 36237, 0.7580135333579686
קרוב, 64765, 29164, 0.7578402237480675
שמר, 81313, 31883, 0.7575578844994758
עלה, 63374, 28020, 0.757521047413982
קרא, 140013, 37324, 0.7572790956219879
מלא, 48054, 25189, 0.7572739996587984
איזה, 179147, 39606, 0.7570976823525724
שינה, 64559, 29600, 0.7570520698232999
השאיר, 52040, 26619, 0.7569118990722683
יחיד, 73740, 31360, 0.7568256123829105
קצת, 175325, 38554, 0.7568215267026179
חיכה, 57163, 27476, 0.7568073870178758
איתך, 50853, 25409, 0.7565141918687514
עמד, 103159, 34456, 0.7563573904210092
אי, 146976, 38291, 0.7559666453540768
חשוב, 70535, 29954, 0.7559403174686339
חוץ, 90712, 32860, 0.7559332038697861
הכיר, 131321, 36335, 0.7556745825603102
שאל, 106181, 34201, 0.7553535119497476
נעשה, 70421, 30093, 0.7553442662313572
מאוחר, 52191, 25779, 0.7550953779006937
מוכן, 115301, 35648, 0.7549545996691428
נשמע, 69814, 30269, 0.754847028892198
נכנס, 90429, 33029, 0.7548084431901666
חלק, 87778, 32785, 0.7547254039813581
מבין, 50540, 25479, 0.7545120898881357
נ, 46983, 24902, 0.7544822115365516
אמור, 89700, 33337, 0.7536895580188299
קל, 44150, 24171, 0.7534149166420128
ילך, 59244, 27026, 0.7527902619292293
בכלל, 60990, 27698, 0.7527396447680208
אלה, 233644, 38074, 0.7527022740569967
כלל, 53987, 25929, 0.7525384927223415
שום, 146411, 36788, 0.7521875367283136
גרם, 110859, 35168, 0.7520426531036938
הפסיק, 64442, 28808, 0.7520203664772012
הפעם, 40967, 23297, 0.7519715819024961
מתי, 56953, 26975, 0.7516978166931896
הת, 46255, 24614, 0.751597228249568
סיים, 49967, 25437, 0.7515551797694072
שכח, 45437, 23959, 0.7511920906615481
איתי, 46761, 24239, 0.7509541013859027
בין, 79758, 31121, 0.7509185448215709
עבד, 119322, 35370, 0.7509148800205059
נשאר, 98287, 33880, 0.750598796653489
האמין, 133888, 37080, 0.7502095967056479
בחר, 54812, 26160, 0.7502076842128453
אכפת, 72821, 29977, 0.7500879198937482
קיבל, 243889, 40776, 0.7500171150896289
ישב, 45291, 23369, 0.7499018221667755
רע, 79634, 30810, 0.7497801544409235
הוציא, 51586, 25538, 0.7494769452339677
עזר, 166920, 38806, 0.7494677516396457
בעיה, 133192, 36380, 0.7493763190047982
הראה, 41990, 22842, 0.7493114347723449
גדול, 182308, 39208, 0.7490466276444374
כוונה, 42481, 23367, 0.7489349234567368
אעשה, 39467, 22636, 0.7484708894038101
צדק, 57882, 27334, 0.7484672402261972
שנה, 219155, 39679, 0.7479740349720239
אלא, 41737, 22893, 0.7479543670013787
ביקש, 71177, 28968, 0.7478055485649457
חסר, 48992, 24559, 0.7475294553035913
סוף, 87864, 31625, 0.7475109849142201
תודה, 269458, 40779, 0.7473604624367596
עובד, 80911, 30543, 0.7471789501721844
גרוע, 49393, 25267, 0.7469436120618338
הניח, 100464, 33988, 0.7468575081363968
השתמש, 76694, 30709, 0.7457989917185035
מושג, 43162, 23299, 0.7452825579352562
היום, 161107, 37991, 0.7452401041821652
בלי, 82463, 31103, 0.7451788216108366
בבקש, 45787, 23109, 0.7450939608395166
הפך, 79849, 30971, 0.7450116709435397
חץ, 55858, 25677, 0.7449420522970438
הבטיח, 49463, 24500, 0.7448628880292192
ברור, 55491, 25902, 0.7448479538853883
מזל, 59141, 26640, 0.7448047005939695
תן, 126600, 35753, 0.7444971437090584
אופן, 63422, 26925, 0.7441921309235029
לאן, 61827, 27273, 0.7441448175833947
מאוד, 242051, 40437, 0.744128257691816
הסתכל, 42945, 22239, 0.7436579638965237
עניין, 115658, 34716, 0.7435984845608715
איבד, 48731, 24396, 0.743572883671449
מעולם, 77133, 28830, 0.7435419137850303
במשך, 47299, 23392, 0.7435258737990725
קטן, 148715, 37651, 0.7433888266022728
רעיון, 60631, 26575, 0.7430392985230476
הלך, 638998, 43040, 0.7429720343179576
